Avg Temp,State
72.95,Hawaii 
71.8,Florida 
66.74,Louisiana 
65.97,Arizona 
65.97,Texas 
63.5,Mississippi 
62.68,Alabama 
62.3,Georgia 
61.7,South Carolina 
61.17,California 
60.14,Oklahoma 
60.09,Arkansas 
58.7,North Carolina 
58.11,Tennessee 
57.3,Nevada 
55.62,Kentucky 
55.54,Virginia 
54.73,District of Columbia 
54.7,Missouri 
54.68,Kansas 
54.61,Maryland 
54.48,Delaware 
53.08,West Virginia 
53.07,New Mexico 
51.93,New Jersey 
51.81,Indiana 
51.37,Illinois 
51.27,Oregon 
50.88,Ohio 
50.47,Washington 
49.88,Nebraska 
49.8,Pennsylvania 
49.55,Utah 
49.27,Rhode Island 
48.6,Connecticut 
48.17,New York 
48.14,Massachusetts 
48.14,Iowa 
46.64,Michigan 
46.32,Idaho 
46.26,Colorado 
45.54,South Dakota 
44.71,Wisconsin 
44.49,New Hampshire 
44.18,Montana 
43.74,Vermont 
43.47,Wyoming 
43.09,Maine 
42.98,Minnesota 
40.8,North Dakota 
32.03,Alaska 
